学生ID,学生姓名,性别,民族,入学年份,出生日期,家庭住址,家庭类型,政治面貌,入学排名,宿舍号,是否退学
14454,张发弟,女,汉族,2016,2002-08-01,湖南省湘潭市韶山市,城镇,共青团员,1,-1,0
14479,吕心媛,男,汉族,2016,2002-07-06,河北省衡水市深州市,城镇,共青团员,2,315,0
14486,魏秋荣,男,汉族,2016,2002-06-08,贵州省贵阳市花溪区,城镇,共青团员,3,321,0
14549,陶倩,女,汉族,2016,2002-10-27,山东省菏泽市菏泽市,城镇,共青团员,4,-1,0
14550,秦瑞进,女,汉族,2017,2002-08-02,广西壮族自治区柳州市鱼峰区,城镇,共青团员,5,-1,0
14551,许睿婕,女,汉族,2017,2001-11-02,甘肃省庆阳市庆城县,城镇,少先队员,6,619,0
14552,冯敏茹,男,汉族,2016,2002-08-07,山西省晋城市泽州县,城镇,共青团员,7,310,0
14553,朱眉,女,汉族,2017,2002-11-15,广西壮族自治区南宁市兴宁区,城镇,共青团员,8,-1,0
14554,朱花娥,女,汉族,2016,2002-01-05,广东省潮州市湘桥区,城镇,共青团员,9,-1,0
14555,陈婷,女,汉族,2016,2002-08-22,广西壮族自治区桂林市资源县,城镇,共青团员,10,-1,0
14556,许如霜,女,汉族,2017,2001-09-12,江西省吉安市青原区,城镇,共青团员,11,-1,0
14557,任凡,男,汉族,2016,2002-02-09,宁夏回族自治区石嘴山市惠农区,城镇,共青团员,12,-1,0
14558,孔子彤,女,汉族,2017,2001-09-26,青海省玉树藏族自治州杂多县,城镇,共青团员,13,-1,0
14559,戚丽,女,汉族,2017,2001-10-07,河南省焦作市山阳区,城镇,共青团员,14,617,0
14560,杨菜玲,女,汉族,2017,2002-08-10,黑龙江省双鸭山市四方台区,城镇,共青团员,15,-1,0
14561,那艳,女,汉族,2017,2001-03-01,四川省绵阳市涪城区,城镇,共青团员,16,-1,0
14562,李世兰,女,汉族,2017,2002-02-05,浙江省台州市临海市,城镇,共青团员,17,605,0
14563,周睿敏,男,汉族,2016,2002-11-06,新疆维吾尔自治区哈密市伊州区,城镇,共青团员,18,-1,0
14637,尤欢,女,汉族,2016,2002-04-18,黑龙江省佳木斯市佳木斯市,城镇,共青团员,19,-1,0
14564,李婷,女,汉族,2017,2001-01-25,山东省济南市天桥区,城镇,共青团员,20,-1,0
14565,王梅梅,男,汉族,2017,2001-11-12,贵州省铜仁市铜仁市,城镇,共青团员,21,-1,0
14566,戚半芹,男,汉族,2016,2002-04-12,山西省运城市盐湖区,城镇,共青团员,22,-1,0
14567,沈兰兰,女,汉族,2016,2001-10-08,宁夏回族自治区吴忠市盐池县,城镇,共青团员,23,-1,0
14568,张心菲,女,汉族,2016,2002-11-02,福建省龙岩市龙岩市,城镇,共青团员,24,603,0
14569,张宛海,男,汉族,2016,2002-06-23,四川省阿坝藏族羌族自治州黑水县,城镇,共青团员,25,-1,0
14911,岑梦,男,汉族,2016,2001-04-03,河南省南阳市社旗县,城镇,共青团员,26,212,0
14570,严凡,女,汉族,2016,2001-01-26,辽宁省大连市瓦房店市,城镇,共青团员,27,614,0
14571,吴访枫,女,汉族,2017,2002-07-22,江苏省盐城市建湖县,城镇,共青团员,28,612,0
14572,魏艳,女,汉族,2016,2002-02-11,四川省达州市宣汉县,城镇,共青团员,29,-1,0
14573,戚兰燕,男,汉族,2017,2002-07-16,四川省宜宾市翠屏区,城镇,共青团员,30,304,0
14574,许花长,女,汉族,2016,2001-11-03,新疆维吾尔自治区阿勒泰地区吉木乃县,城镇,共青团员,31,615,0
