教师ID,教师名,性别,民族,政治面貌,学历,出生日期,联系电话,邮箱
224,水艳,女, 土家族,一般,大学本科,1990/10/1,10185684358,1472835529@qq.com
94,孙缘双,男,汉族,一般,大学本科,1990/10/2,12196436239,1220781626@qq.com
134,张怜云,女,汉族,一般,大学本科,1990/10/3,16550880699,1051014931@qq.com
151,秦安琪,女,汉族,一般,大学本科,1990/10/4,16689965844,1329075336@qq.com
253,凤成倩,男,汉族,一般,大学本科,1990/10/5,14471580309,1060492073@qq.com
262,朱凯敏,女,汉族,一般,大学本科,1990/10/6,18444610027,1897753448@qq.com
329,冯茜,女,汉族,一般,大学本科,1990/10/7,15394044043,1614232534@qq.com
154,陶倩倩,女,汉族,一般,大学本科,1990/10/8,13792278018,1470721884@qq.com
181,许晶,女,汉族,一般,大学本科,1990/10/9,13694050576,1540080985@qq.com
108,尤燕,男,汉族,共产党员,大学本科,1990/10/10,17752825597,1607194583@qq.com
161,曹永珍,男,汉族,共产党员,大学本科,1990/10/15,18527088981,1709777249@qq.com
152,褚蓉,男,汉族,一般,大学本科,1990/10/19,15456864797,1029692051@qq.com
103,水胜敏,女,汉族,一般,大学本科,1990/10/21,15566357151,1525965826@qq.com
66,华聪,女,汉族,一般,大学本科,1990/10/22,19163890241,1884467542@qq.com
78,金瑶,女,汉族,一般,大学本科,1990/10/23,15194324765,1017735020@qq.com
26,孙婉,女,汉族,一般,大学本科,1990/10/24,16823617046,1508906937@qq.com
141,施雨祺,女,汉族,一般,大学本科,1990/10/25,17583988614,1174967265@qq.com
164,韩倩,女,汉族,一般,大学本科,1990/10/26,12210354544,1499561864@qq.com
314,时蓓,男,汉族,一般,大学本科,1990/10/27,19046812802,1776361030@qq.com
178,陶婵,女,汉族,一般,大学本科,1990/10/31,10108179234,1236481643@qq.com
52,秦婵,女,汉族,一般,大学本科,1990/11/11,17737720087,1819671788@qq.com
85,沈孝洁,女,汉族,一般,大学本科,1990/11/12,13571153600,1894520670@qq.com
107,蒋名媛,女,汉族,一般,大学本科,1990/11/13,11976003676,1756986098@qq.com
312,周明露,女,汉族,一般,大学本科,1990/11/18,18448654993,1729500795@qq.com
158,陈雪,女,汉族,共产党员,大学本科,1990/11/20,16718237138,1429554653@qq.com
144,李静娴,男,汉族,一般,大学本科,1990/11/24,14673334280,1774204938@qq.com
259,周桂花,女,汉族,一般,大学本科,1990/11/25,15851107843,1636091966@qq.com
339,赵灿怡,女,汉族,一般,大学本科,1990/11/26,16124527449,1646989915@qq.com
256,淳于洋,男,汉族,一般,大学本科,1990/11/29,11655825091,1165551433@qq.com
53,朱寒雁,女,汉族,一般,大学本科,1990/12/1,14784100517,1604862423@qq.com
84,潘沛文,女,汉族,一般,大学本科,1990/12/2,10756023462,1721071143@qq.com
112,尤婷,男,汉族,一般,大学本科,1990/12/3,15895927649,1593638950@qq.com
340,杨敏,男,汉族,一般,大学本科,1990/12/6,13154352564,1652259509@qq.com
157,严丽丽,女,汉族,共产党员,大学本科,1990/12/10,15067147436,1173266093@qq.com
215,秦元珊,女,汉族,一般,大学本科,1990/12/18,13067605996,1476033011@qq.com
269,姜菜玲,女,汉族,一般,大学本科,1990/12/21,12066368617,1617404742@qq.com
271,沈仪,男,汉族,一般,大学本科,1990/12/22,15824191799,1229593926@qq.com
12,戚媛,男,汉族,一般,大学本科,1990/12/23,11504363757,1495945458@qq.com
185,戚开萍,女,汉族,一般,大学本科,1990/12/25,16151865014,1237204180@qq.com
194,吕莉,男,汉族,一般,大学本科,1990/12/26,11639631228,1888808498@qq.com
14,施采绿,女,汉族,一般,大学本科,1990/12/30,19863256319,1807247112@qq.com
80,曹问筠,男,汉族,一般,大学本科,1991/1/1,16720672181,1384044021@qq.com
51,秦君,男,汉族,一般,大学本科,1991/1/10,16151458031,1693713086@qq.com
73,尤丹珍,男,汉族,一般,大学本科,1991/1/11,12101027981,1319566302@qq.com
328,沈优优,男,汉族,一般,大学本科,1991/1/13,10603419585,1632027046@qq.com
65,杨英,男,汉族,一般,大学本科,1991/1/21,19839077759,1350810804@qq.com
74,戚燕,女,汉族,一般,大学本科,1991/1/22,16921876163,1713557641@qq.com
129,云晶,男,汉族,一般,大学本科,1991/1/23,19023568312,1587902591@qq.com
184,郎莎,男,汉族,一般,大学本科,1991/1/24,13752566354,1086868739@qq.com
338,张纨,男,汉族,一般,大学本科,1991/1/25,10423385447,1521324374@qq.com
213,蒋采绿,男,汉族,一般,大学本科,1991/1/27,15855562825,1138580280@qq.com
182,沈春竹,男,汉族,一般,大学本科,1991/1/28,18675665263,1385218250@qq.com
109,施平夏,女,汉族,一般,大学本科,1991/1/30,11711223681,1539127553@qq.com
56,柏融,女,汉族,一般,大学本科,1991/1/31,12860700544,1587373229@qq.com
79,陈春燕,男,汉族,一般,大学本科,1991/2/1,12784952782,1736612105@qq.com
105,何龙婷,男,汉族,一般,大学本科,1991/2/2,15509040496,1524038264@qq.com
145,何秀丽,男,汉族,共产党员,大学本科,1991/2/3,12335496968,1878463616@qq.com
166,陶紫霜,女,汉族,一般,大学本科,1991/2/4,13638434092,1549725059@qq.com
252,戚筠,男,汉族,一般,大学本科,1991/2/5,10579142499,1136348482@qq.com
54,花功碧,男,汉族,一般,大学本科,1991/2/10,12018027660,1696611476@qq.com
76,钱虹,女,汉族,一般,大学本科,1991/2/11,17993579139,1648837211@qq.com
274,严倩,男,汉族,一般,大学本科,1991/2/12,15028007631,1780334004@qq.com
150,吴眉,男,汉族,一般,大学本科,1991/2/13,15776625642,1056489504@qq.com
307,戚彤,男,汉族,一般,大学本科,1991/2/14,14221488757,1028097216@qq.com
276,尤惜雪,男,汉族,一般,大学本科,1991/2/15,16592829701,1344740779@qq.com
268,钱媛元,男,汉族,共产党员,大学本科,1991/2/19,10491600947,1382348976@qq.com
75,蒋娇娇,男,汉族,一般,大学本科,1991/2/20,14305410993,1266169747@qq.com
124,尤娟,男,汉族,一般,大学本科,1991/2/21,11008526053,1273559208@qq.com
170,施梦,男,汉族,一般,大学本科,1991/2/23,18221755416,1435578378@qq.com
45,曹景燕,女,汉族,一般,大学本科,1991/2/28,12648899860,1459030353@qq.com
72,吕甜,男,汉族,一般,大学本科,1991/3/1,19367119392,1121956620@qq.com
100,金红,女,汉族,一般,大学本科,1991/3/2,11301836636,1505771939@qq.com
249,秦兰兰,女,汉族,一般,大学本科,1991/3/3,12414374474,1345134650@qq.com
168,金瑾,女,汉族,一般,大学本科,1991/3/4,16509933840,1301341767@qq.com
233,朱艳红,女,汉族,一般,大学本科,1991/3/5,13626117437,1710090717@qq.com
50,张静,女,汉族,一般,大学本科,1991/3/10,11026591548,1118773673@qq.com
70,李永珍,女,汉族,一般,大学本科,1991/3/11,10796488742,1525908918@qq.com
225,钱鑫琳,女,汉族,一般,大学本科,1991/3/12,10410489484,1641799447@qq.com
257,于水云,女,汉族,一般,大学本科,1991/3/13,11676462957,1879378775@qq.com
275,褚燕,男,汉族,一般,大学本科,1991/3/14,13214951320,1366501216@qq.com
